timeStamp,displayName,followersCount,followingCount,listedCount,statusesCount,activityType,tweetID
2014-10-01T00:06:21.000Z,7blocks,31,157,1,175,Retweet,517103185950179330
2014-10-01T00:06:37.000Z,childs,774,1590,10,51836,Retweet,517103251804524544
2014-10-01T00:06:41.000Z,stevebutler4Him,306,461,5,2830,Retweet,517103270708654081
2014-10-01T00:06:55.000Z,tuitperuano,482,1849,2,5746,Tweet,517103327298207745
2014-10-01T00:08:29.000Z,Thatkidjohnson,384,230,0,24933,Retweet,517103721151340544
2014-10-01T00:11:38.000Z,xanderzx,794,91,8,39770,Tweet,517104516827586561
2014-10-01T00:13:25.000Z,YeimerCorrea,23,21,0,1338,Tweet,517104964754108416
2014-10-01T00:13:49.000Z,InvictusReview,121,132,5,829,Tweet,517105065421971456
2014-10-01T00:15:00.000Z,JKaraglanis,357,336,1,13626,Retweet,517105360717770753
2014-10-01T00:17:58.000Z,thus_spake,1343,869,25,164112,Tweet,517106111082528768
2014-10-01T00:18:44.000Z,influenza_bio,1403,732,64,9278,Retweet,517106301500141568
2014-10-01T00:19:41.000Z,PalmitaLokz,702,413,1,31680,Retweet,517106543100055552
2014-10-01T00:19:48.000Z,Fundatip,1373,453,33,5257,Tweet,517106571613323264
2014-10-01T00:21:52.000Z,LittleMsMuffin_,3321,2306,55,10371,Retweet,517107090855575552
2014-10-01T00:22:32.000Z,WorldManUtd,13099,1092,2,42623,Tweet,517107259483361282
2014-10-01T00:23:32.000Z,superpeen45,496,1044,5,9086,Retweet,517107510725971969
2014-10-01T00:25:18.000Z,RosemellQ,217,571,6,3071,Retweet,517107953648680960
2014-10-01T00:30:15.000Z,FarhanYusufzai,238,306,3,7577,Retweet,517109201840402432
2014-10-01T00:32:15.000Z,iWillRawYoAss,1936,1024,4,117625,Retweet,517109703084498944
2014-10-01T00:32:39.000Z,Autumn_Bass17,144,119,0,3051,Retweet,517109802489892864
2014-10-01T00:39:08.000Z,Steph_NJ,309,467,0,12361,Retweet,517111435319844865
2014-10-01T00:40:36.000Z,lilliangracee_,224,184,0,5584,Retweet,517111804414423041
2014-10-01T00:41:54.000Z,Seven24Life,67387,14947,51,97090,Tweet,517112132417376257
2014-10-01T00:43:51.000Z,V_Heck,625,900,16,8124,Tweet,517112623561965568
2014-10-01T00:46:20.000Z,New_Narrative,2103,64,140,81521,Tweet,517113249800941568
2014-10-01T00:48:35.000Z,BadgerNative,11228,7296,223,15498,Tweet,517113813897084928
2014-10-01T00:49:09.000Z,MSFTS101,437,428,0,10241,Reply,517113440192958464
2014-10-01T00:49:24.000Z,agustinchavez,28,43,0,379,Retweet,517114019854155776
2014-10-01T00:53:19.000Z,D_CHYKE,1226,1198,4,16947,Retweet,517115004248940544
2014-10-01T00:55:18.000Z,VictoriousBIG93,226,188,5,5093,Tweet,517115503366508544
2014-10-01T00:56:08.000Z,orlando_tina,982,812,11,39784,Retweet,517115713946128386
2014-10-01T00:57:36.000Z,nozartproduct,26,17,6,85086,Tweet,517116081375158274
2014-10-01T01:00:08.000Z,LILILOOPSY18,242,302,4,11472,Reply,517113148038742016
2014-10-01T01:03:00.000Z,parlerjoshiki,6,45,0,559,Retweet,517117441995198465
2014-10-01T01:06:14.000Z,_asiamarieb_,960,775,0,6191,Retweet,517118255262367744
2014-10-01T01:06:42.000Z,kevincredible88,181,533,0,4328,Retweet,517118373142855680
2014-10-01T01:10:24.000Z,Emmanuel_S18,399,445,1,39495,Tweet,517119303020453889
2014-10-01T01:11:19.000Z,karageisler18,89,135,0,915,Tweet,517119534126612480
2014-10-01T01:14:06.000Z,FroJr18,204,178,0,1226,Reply,517056200504930304
2014-10-01T01:16:45.000Z,Juank_Parada,7203,7154,28,159856,Tweet,517120902275039233
2014-10-01T01:22:44.000Z,drewspantry,307,332,2,4695,Retweet,517122409296838656
2014-10-01T01:23:34.000Z,Progamer878,27,28,0,2434,Retweet,517122618185764864
2014-10-01T01:24:55.000Z,LaPresseFR,265,11,4,19978,Tweet,517122955805851648
2014-10-01T01:25:25.000Z,LilB_MCKIE,337,88,0,11072,Retweet,517123082079965184
2014-10-01T01:26:06.000Z,mjrivera07,264,250,1,14577,Retweet,517123255300534273
2014-10-01T01:31:21.000Z,RUN_EDC_,361,388,2,15882,Retweet,517124577320009728
2014-10-01T01:31:22.000Z,KumaHatake,208,212,2,13554,Retweet,517124580289552384
2014-10-01T01:31:34.000Z,ahoroky,55,69,2,280,Retweet,517124629786533888
2014-10-01T01:32:16.000Z,YungBarlos,697,1277,4,31427,Retweet,517124809289764864
2014-10-01T01:32:32.000Z,GloryCxmo,1665,998,3,28172,Retweet,517124875966636033
2014-10-01T01:37:00.000Z,RepublicanJD,212,207,14,334,Retweet,517125997947523072
2014-10-01T01:37:48.000Z,MayreeJayMacks,604,523,1,33183,Tweet,517126201375461378
2014-10-01T01:41:55.000Z,napernurse,4030,2159,208,42272,Retweet,517127234424168448
2014-10-01T01:43:22.000Z,Toddeo54,495,450,0,6466,Retweet,517127599768993795
2014-10-01T01:44:20.000Z,maddie_suzanne,149,122,0,2457,Retweet,517127845123207169
2014-10-01T01:45:43.000Z,AKTRILLA,740,471,2,12383,Tweet,517128192004722688
2014-10-01T01:46:12.000Z,Nick_B_14,95,353,0,134,Tweet,517128313609801728
2014-10-01T01:46:53.000Z,YaBoiCris,1219,289,0,6641,Retweet,517128486029651968
2014-10-01T01:47:07.000Z,ScottWebb123,26,22,0,802,Tweet,517128544715935744
2014-10-01T01:50:41.000Z,unomasunomx,8954,2227,332,312235,Tweet,517129441882157057
2014-10-01T01:57:27.000Z,SimplyExtremist,103,103,2,2308,Retweet,517131144345563136
2014-10-01T02:01:57.000Z,Mr_BuddyLee,566,552,14,28740,Retweet,517132275579125760
2014-10-01T02:06:37.000Z,wcollier33,494,1337,4,10545,Retweet,517133449984237568
2014-10-01T02:09:27.000Z,riggs19,206,823,3,4904,Reply,517133595660779520
2014-10-01T02:11:34.000Z,sgtpepperhoran,1542,526,18,34209,Retweet,517134695684124672
2014-10-01T02:19:29.000Z,JRob7676,96,152,1,119,Retweet,517136690889363456
2014-10-01T02:20:19.000Z,BohemianMama8,34,64,0,138,Tweet,517136897676562432
2014-10-01T02:22:50.000Z,WilMadison,920,580,17,59519,Retweet,517137531436298240
2014-10-01T02:25:01.000Z,Sequoia_08,835,437,0,22866,Tweet,517138081309143040
2014-10-01T02:25:44.000Z,WildGayBitch,936,541,5,23819,Retweet,517138261257781250
2014-10-01T02:30:32.000Z,Bakari_Sellers,21637,1993,134,15169,Retweet,517139471322869762
2014-10-01T02:30:33.000Z,morganetay,1195,798,0,20781,Tweet,517139475517165568
2014-10-01T02:32:11.000Z,actiivequeen_,496,371,1,11201,Retweet,517139886118150144
2014-10-01T02:35:30.000Z,__alohaitsjess,59,156,1,1365,Tweet,517140720357224448
2014-10-01T02:37:37.000Z,restoring_liz,523,605,4,5109,Retweet,517141252626608128
2014-10-01T02:38:46.000Z,darmawa04498146,51,580,0,100,Retweet,517141544558526464
2014-10-01T02:39:37.000Z,ajones139,292,243,1,18057,Retweet,517141755536621568
2014-10-01T02:40:11.000Z,RWaller27,97,237,1,1618,Retweet,517141899799302144
2014-10-01T02:40:46.000Z,juvanhck,177,317,2,3320,Tweet,517142047447195649
2014-10-01T02:40:58.000Z,The_Captain_80,293,286,0,9362,Retweet,517142097779228672
2014-10-01T02:41:04.000Z,ZMoneta,365,314,1,9729,Retweet,517142123364511744
2014-10-01T02:42:19.000Z,Dannymtz_7,346,269,0,1727,Retweet,517142437106810880
2014-10-01T02:45:36.000Z,m_rape,924,215,0,21215,Retweet,517143262550040576
2014-10-01T02:46:33.000Z,STemple_20,741,614,1,21459,Reply,517143014637326338
2014-10-01T02:48:03.000Z,khubbbb97,445,320,1,28872,Retweet,517143880358461440
2014-10-01T02:48:03.000Z,lynannbradbury,71,122,3,139,Retweet,517143877015175169
2014-10-01T02:48:26.000Z,cashtonsbank,499,571,3,9235,Tweet,517143976013729792
2014-10-01T02:49:07.000Z,WillBrucker,45,349,0,601,Tweet,517144145845313536
2014-10-01T02:49:22.000Z,Emilyhcaf,314,303,0,2224,Retweet,517144211712651264
2014-10-01T02:49:26.000Z,pmbasse,6206,4874,237,29394,Reply,517134322873012224
2014-10-01T02:49:55.000Z,TheTenorDad,196,160,8,6274,Tweet,517144346790232064
2014-10-01T02:50:41.000Z,gabbbim,375,627,0,11923,Retweet,517144542630649856
2014-10-01T02:52:18.000Z,KU_Commodities,526,503,10,997,Retweet,517144946982141953
2014-10-01T02:52:19.000Z,KirsieMarie,48,107,0,1155,Retweet,517144952854568961
2014-10-01T02:53:12.000Z,Pixoy,7758,2572,26,39356,Tweet,517145174326390784
2014-10-01T02:53:23.000Z,shananmangwende,185,104,0,1038,Reply,517138032043245569
2014-10-01T02:54:04.000Z,BURNS_calories,319,266,2,5436,Retweet,517145394942590976
2014-10-01T02:55:21.000Z,_EileenCollins,449,382,5,17753,Retweet,517145714938224640
2014-10-01T02:59:10.000Z,gwilliams1967,1991,2097,33,14244,Retweet,517146675434242050
2014-10-01T02:59:29.000Z,J_Spangler,372,543,3,1971,Retweet,517146757655183360
2014-10-01T02:59:51.000Z,beeisforbeeauty,9816,812,60,66684,Retweet,517146850370285568
2014-10-01T03:00:42.000Z,MaryfromMarin,901,926,17,15338,Tweet,517147062165450753
2014-10-01T03:01:52.000Z,MissHIllGray,273,244,3,3095,Retweet,517147356169383936
2014-10-01T03:05:24.000Z,TheNavelPlex,332,1113,6,2916,Tweet,517148244963770368
2014-10-01T03:07:42.000Z,t1ngod,6,63,0,61,Retweet,517148824188370945
2014-10-01T03:08:04.000Z,DaveAlcala,1434,1775,9,15226,Reply,517148516523970560
2014-10-01T03:09:24.000Z,kmcampbell0612,65,73,1,88,Retweet,517149253261856768
2014-10-01T03:13:06.000Z,JesseMollere,281,253,0,5429,Reply,517149035187011584
2014-10-01T03:14:25.000Z,christianomar_,249,200,1,4386,Retweet,517150514904322048
2014-10-01T03:14:59.000Z,svgar__,235,247,1,6872,Retweet,517150658349125633
2014-10-01T03:17:07.000Z,dumbbuttalex,584,549,5,24321,Tweet,517151191868796928
2014-10-01T03:19:31.000Z,CFC_michael8,442,692,1,14441,Retweet,517151799216984066
2014-10-01T03:20:27.000Z,Laina_Lo,156,150,1,5633,Tweet,517152030742159360
2014-10-01T03:21:55.000Z,Dylan44R,169,204,1,4168,Retweet,517152401082425345
2014-10-01T03:23:36.000Z,Austin_CP,1716,6,71,132909,Tweet,517152826800103424
2014-10-01T03:24:39.000Z,AndresC213,49,324,0,243,Retweet,517153087710969856
2014-10-01T03:24:48.000Z,YourLocalRave,137,131,0,3775,Retweet,517153127565623296
2014-10-01T03:24:53.000Z,ralphgot,261,2000,5,9099,Retweet,517153149795061760
2014-10-01T03:26:38.000Z,thenamesfranco,242,260,1,15691,Retweet,517153588502462464
2014-10-01T03:29:01.000Z,JayeDeonna,18411,15779,7,6449,Retweet,517154189114617856
2014-10-01T03:31:56.000Z,nauticaItattoos,335,61,1,2473,Retweet,517154921469476865
2014-10-01T03:32:49.000Z,StormyTracy,71,353,0,2398,Retweet,517155146686820352
2014-10-01T03:34:37.000Z,galeana_21,33,105,0,156,Retweet,517155598417133568
2014-10-01T03:34:38.000Z,US395,1029,1483,40,12101,Tweet,517155603018313728
2014-10-01T03:35:07.000Z,HeAintRalphTho,653,423,5,35232,Tweet,517155725089312768
2014-10-01T03:35:56.000Z,future_db,184,0,11,68847,Tweet,517155931034255360
2014-10-01T03:36:02.000Z,k_konner,136,173,0,4146,Retweet,517155956195856385
2014-10-01T03:39:20.000Z,samuelberhe86,62,226,0,307,Retweet,517156786223058944
2014-10-01T03:39:56.000Z,SavannahLyons,808,446,10,29187,Retweet,517156935146405891
2014-10-01T03:44:40.000Z,DhakaFlocka,357,372,2,7206,Tweet,517158127561502720
2014-10-01T03:46:13.000Z,der_ichbins,1285,2001,39,23684,Tweet,517158517241700353
2014-10-01T03:49:05.000Z,_ChrisWithA_K,342,316,1,12152,Tweet,517159236552646656
2014-10-01T03:49:53.000Z,acrr88,664,473,3,59864,Retweet,517159441649901569
2014-10-01T03:51:11.000Z,The_Paul08,170,128,1,4220,Tweet,517159766288654336
2014-10-01T03:52:09.000Z,lilachoranHi,838,1738,5,3444,Retweet,517160011647430656
2014-10-01T03:52:22.000Z,lexilockard,294,352,0,7078,Retweet,517160063652618241
2014-10-01T03:53:31.000Z,Ande800,966,242,5,113941,Tweet,517160355592949761
2014-10-01T03:54:08.000Z,khiandraa_,710,1451,0,20885,Reply,517160041091051520
2014-10-01T03:54:41.000Z,GreggHeem,400,380,0,18175,Retweet,517160647520698369
2014-10-01T03:54:54.000Z,_xvziryyx,67,77,2,89,Retweet,517160702440927232
2014-10-01T03:59:26.000Z,AdrianROnGuitar,232,212,0,6513,Retweet,517161842909908992
2014-10-01T04:01:40.000Z,jenjenthehutt,103,65,0,4697,Retweet,517162406183596032
2014-10-01T05:05:22.000Z,NECKASSboi,1283,997,8,37217,Retweet,517178435563945984
2014-10-01T05:06:32.000Z,laruebecca,350,198,1,6676,Retweet,517178729563291648
2014-10-01T05:06:38.000Z,BlanquetErick,245,416,1,5887,Retweet,517178756436197376
2014-10-01T05:11:25.000Z,iamcjdailey,426,294,2,7214,Retweet,517179956422389760
2014-10-01T05:11:51.000Z,MikelynDelaine,620,320,1,21440,Retweet,517180065898332161
2014-10-01T05:30:41.000Z,VOFNHQ,703,284,4,39822,Tweet,517184806296121344
2014-10-01T05:34:16.000Z,D_Castle,219,699,2,9382,Tweet,517185708474519553
2014-10-01T05:35:13.000Z,TheRealZachTodd,387,220,1,23448,Retweet,517185946710581248
2014-10-01T05:38:47.000Z,shotgunsusie,133,254,1,15594,Tweet,517186845994942464
2014-10-01T05:49:27.000Z,rifke76,123,264,1,6183,Retweet,517189531573813248
2014-10-01T05:51:22.000Z,DigiCake24,41,270,0,100,Retweet,517190010575921152
2014-10-01T05:52:52.000Z,PremBaweja1,12,0,0,85329,Tweet,517190391020277760
2014-10-01T05:53:12.000Z,NBCSULB,73,79,0,327,Retweet,517190471525736448
2014-10-01T06:05:17.000Z,vonkarama,123,157,3,40819,Retweet,517193515739385856
2014-10-01T06:07:48.000Z,Mr_Mando_97,392,300,1,16158,Retweet,517194147430940672
2014-10-01T06:08:27.000Z,clmuseum,1473,1910,15,21574,Retweet,517194310153162752
2014-10-01T06:09:32.000Z,jbaggybags,483,1003,0,9838,Retweet,517194583218745344
2014-10-01T06:10:50.000Z,JaredBinning,284,214,0,3960,Retweet,517194909955002368
2014-10-01T06:17:28.000Z,MakarryPotter,284,355,0,2478,Retweet,517196580936372225
